No.,Company Name,Industry,Official Website,Privacy Policy URL,Date Collected,URL Access Check
53,Aaryan Sourcing Bangladesh,Garment Sourcing and Manufacturing,https://www.aaryansourcing.com,https://www.aaryansourcing.com/privacy-policy,8/26/2026,Official page opened or indexed
54,Linde Bangladesh Limited,Industrial Manufacturing,https://www.linde.com.bd,https://www.linde.com.bd/privacy-notice,8/26/2026,Official page opened or indexed
55,Roche Bangladesh Limited,Pharmaceuticals and Healthcare,https://www.roche.com.bd,https://www.roche.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
56,Hilti Bangladesh Authorized Distributor,Construction Tools and Services,https://www.hilti.com.bd,https://www.hilti.com.bd/legal/privacy-policy,8/26/2026,Official page opened or indexed
57,Bureau Veritas Bangladesh,"Testing, Inspection and Certification",https://www.bureauveritas.com.bd,https://www.bureauveritas.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
58,Condair Bangladesh,Industrial Equipment,https://www.condair.com.bd,https://www.condair.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
59,Palladium Group Bangladesh,Consulting and Development Services,https://thepalladiumgroup.com.bd,https://thepalladiumgroup.com.bd/privacy,8/26/2026,Official page indexed; direct open inconclusive
60,B-Advancy,Pharmaceuticals,https://b-advancy.com.bd,https://b-advancy.com.bd/full-privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
61,My Lab Medical and Diagnostic Centre Private Limited,Healthcare and Diagnostics,https://mylab.com.bd,https://mylab.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
62,Popular Diagnostic Centre Limited,Healthcare and Diagnostics,https://www.populardiagnostic.com,https://www.populardiagnostic.com/privacy%26policy,8/26/2026,Official page opened or indexed
63,Samitivej Hospital Bangladesh,Healthcare Provider,https://www.samitivejhospital-bangladesh.com,https://www.samitivejhospital-bangladesh.com/privacy-policy,8/26/2026,Official page opened or indexed
64,Hospice Bangladesh,Healthcare Provider,https://hospicebangladesh.com,https://hospicebangladesh.com/privacy-policy/,8/26/2026,Official page opened or indexed
65,Gazaria Popular Hospital and Diagnostic Centre,Healthcare and Diagnostics,https://gazariahospital.com,https://gazariahospital.com/privacy/,8/26/2026,Official page opened or indexed
66,AMAR Home Drug Addiction Treatment Center,Healthcare Provider,https://amarhome.com.bd,https://amarhome.com.bd/privacy-policy/,8/26/2026,Official page indexed; direct open inconclusive
67,Talk Up Bangladesh,Healthcare and Therapy Services,https://talkup.com.bd,https://talkup.com.bd/privacy-policy/,8/26/2026,Official page opened or indexed
68,Doctors24,Digital Healthcare,https://doctors24.com.bd,https://doctors24.com.bd/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
69,Lazz Pharma Limited,Online Pharmacy and Retail,https://www.lazzpharma.com,https://www.lazzpharma.com/privacy,8/26/2026,Official page opened or indexed
70,Online Medicine Zone,Online Pharmacy,https://onlinemedicinezone.com,https://onlinemedicinezone.com/pages/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
71,Community Pharmacy BD,Online Pharmacy,https://communitypharmacybd.com,https://communitypharmacybd.com/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
72,Care-Box,Healthcare E-commerce,https://www.care-box.com,https://www.care-box.com/privacy-policy-2,8/26/2026,Official page opened or indexed
73,HIT Bangladesh,Online Pharmacy and Healthcare Retail,https://hitbangladesh.com,https://hitbangladesh.com/custom/page/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
74,Gold's Gym Bangladesh,Fitness and Wellness,https://goldsgym.com.bd,https://goldsgym.com.bd/privacy-policy/,8/26/2026,Official page indexed; direct open inconclusive
75,Bangladesh University,Higher Education,https://bu.edu.bd,https://bu.edu.bd/privacy-policy/,8/26/2026,Official page opened or indexed
76,Bangladesh University of Business and Technology,Higher Education,https://www.bubt.edu.bd,https://www.bubt.edu.bd/page/privacy-policy,8/26/2026,Official page opened or indexed
77,Shonod - Digital Study Room,Online Education Platform,https://www.digitalstudyroom.com,https://www.digitalstudyroom.com/privacy-policy,8/26/2026,Official page opened or indexed
78,Edu Hacks,Online Education Platform,https://www.eduhacksbd.com,https://www.eduhacksbd.com/privacy_policy,8/26/2026,Official page opened or indexed
79,Master Academy Bangladesh,EdTech and Training,https://www.masteracademy.com.bd,https://www.masteracademy.com.bd/privacy-policy/,8/26/2026,Official page opened or indexed
80,Daffodil International Professional Training Institute,Professional Training,https://dipti.com.bd,https://dipti.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
81,Universal Languages and Skill Assessment Institute,Education and Assessment,https://ulsai.com.bd,https://ulsai.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
82,Haileybury Bhaluka,Education,https://haileybury.com.bd,https://haileybury.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
83,Nextgen EdTech Services Limited - Deeni Madrasa,EdTech,https://deenimadrasa.com,https://deenimadrasa.com/privacy-policy/,8/26/2026,Official page opened or indexed
84,Ostadjee EdTech Limited,EdTech,https://ostadjee.com,https://ostadjee.com/privacy-policy/,8/26/2026,Official page opened or indexed
85,MalishaEdu,Education Consultancy,https://malishaedu.com,https://malishaedu.com/privacy-policy,8/26/2026,Official page opened or indexed
86,GEE Bangladesh,Education Consultancy,https://geebangladesh.com,https://geebangladesh.com/content/privacy-policy,8/26/2026,Official page opened or indexed
87,Bangladesh Barista Training Academy,Professional Training,https://bbta.com.bd,https://bbta.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
88,Bangladesh Engineering and Technical Training Center,Technical Training,https://bettc.com.bd,https://bettc.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
89,Nhimex Software,Software and IT,https://nhimexsoftware.com,https://nhimexsoftware.com/privacy-policy,8/26/2026,Official page opened or indexed
90,Utsho IT,Software and IT Services,https://www.utshoit.com.bd,https://www.utshoit.com.bd/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
91,MS3 Technology BD,Software and IT Services,https://www.ms3technology.com.bd,https://www.ms3technology.com.bd/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
92,Talkify,Cloud Communications,https://talkify.com.bd,https://talkify.com.bd/privacy,8/26/2026,Official page opened or indexed
93,UrBizSol,Business and Digital Services,https://urbizsol.com.bd,https://urbizsol.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
94,OutsourceToBD,Digital Services Marketplace,https://outsourcetobd.com,https://outsourcetobd.com/privacy,8/26/2026,Official page opened or indexed
95,Bear My Brand,Digital Marketing,https://bearmybrand.com,https://bearmybrand.com/privacy-policy.html,8/26/2026,Official page opened or indexed
96,Call Center Bangladesh,Business Process Outsourcing,https://www.callcenter.com.bd,https://www.callcenter.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
97,Prothom Alo,News Media,https://www.prothomalo.com,https://www.prothomalo.com/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
98,Daily Sun,News Media,https://www.daily-sun.com,https://www.daily-sun.com/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
99,New Age,News Media,https://www.newagebd.net,https://www.newagebd.net/page/3/privacy-policy,8/26/2026,Official page indexed; direct open inconclusive
100,The Bangladesh Monitor,Travel and News Media,https://www.bangladeshmonitor.com.bd,https://www.bangladeshmonitor.com.bd/privacy-policy,8/26/2026,Official page opened or indexed
